Configuration,Accuracy,Precision,Recall,F1 Score
"Baseline (256→128, LeakyReLU, lr=1e-3, AdamW, wd=1e-4)",0.9196,0.9197046889292061,0.9184898262062321,0.9186157807684433
Remove dropout (p=0),0.9257,0.9257382117506706,0.9248334513715386,0.9247317469894776
Replace LeakyReLU with ReLU,0.9189,0.9191862371958749,0.9176980262127081,0.9177604386560116
Increase hidden units (512→256),0.9358,0.9359190406229624,0.93492123292854,0.9349845718944481
"Optimizer = SGD (lr=1e-3, momentum=0.9)",0.6129,0.6203576757273391,0.6027072279816614,0.5560472740687981
Remove weight decay (wd=0),0.9142,0.9143878994584437,0.9128169138230099,0.9128419345938061
